vib_x,vib_y,vib_z,temp,prediction,anomaly_score,is_anomaly,magnitude,prediction2,score2,is_anomaly2,temp_haute,prediction3,score3,is_anomaly3
0.16,-2.63,8.94,34.75,1,-0.4369764331597418,False,9.320198495740312,1,-0.5372948048955105,False,0.0,1,-0.472734895405381,False
-1.77,-3.1,9.22,34.75,1,-0.4913109762455218,False,9.886925710249876,1,-0.39270291748501446,False,0.0,1,-0.36874991678016905,False
-1.8,-3.84,8.75,34.75,1,-0.4586013420309246,False,9.723584729923425,1,-0.4217989842682549,False,0.0,1,-0.3785628400765048,False
-1.69,-4.16,8.79,34.75,1,-0.44347040851512587,False,9.87045085089835,1,-0.3924864006649478,False,0.0,1,-0.37070869546501184,False
-1.49,-2.94,9.18,34.75,1,-0.4736858015388328,False,9.753773628703918,1,-0.4127672199051164,False,0.0,1,-0.3770517006883709,False
-1.77,-2.9,9.3,34.81,1,-0.5007742365508664,False,9.901156498106674,1,-0.40092384349574683,False,0.0,1,-0.3746925352641275,False
-2.0,-3.69,8.98,34.81,1,-0.47640968776801224,False,9.912441677003704,1,-0.4000418508607747,False,0.0,1,-0.37236322974721936,False
-1.29,-3.14,9.1,34.88,1,-0.45425652783033027,False,9.7125537321551,1,-0.4363916910521817,False,0.0,1,-0.39973352577846927,False
-1.49,-4.47,8.51,34.88,1,-0.42448294836541484,False,9.727337765288095,1,-0.4356888019720104,False,0.0,1,-0.39228571300144544,False
-1.14,-3.88,8.87,34.88,1,-0.42288439263516986,False,9.748379352487262,1,-0.43060942900784344,False,0.0,1,-0.3914043703298675,False
-1.73,-4.47,8.94,34.88,1,-0.4494050122206775,False,10.143835566490615,1,-0.4417627163883866,False,0.0,1,-0.41674114324123557,False
-1.73,-4.51,8.67,34.88,1,-0.4390688945505735,False,9.924812340795164,1,-0.4057215035164807,False,0.0,1,-0.3828791028723548,False
-1.1,-3.73,8.94,34.88,1,-0.42692526009669063,False,9.749179452651386,1,-0.43060942900784344,False,0.0,1,-0.3914043703298675,False
-1.26,-3.61,8.98,34.88,1,-0.4362724356670254,False,9.760128072930192,1,-0.42842896185840856,False,0.0,1,-0.3915128809542164,False
-1.49,-4.16,8.87,34.88,1,-0.43003652165673967,False,9.909722498637386,1,-0.4067267077620567,False,0.0,1,-0.38277539865004107,False
-1.1,-3.92,8.71,34.88,1,-0.41756712044417027,False,9.61459827553913,1,-0.4571889787394104,False,0.0,1,-0.41741959446527444,False
-2.12,-4.08,8.75,34.88,1,-0.4620989733707867,False,9.884497963983806,1,-0.40715191504777337,False,0.0,1,-0.3815433278319972,False
-2.43,-3.92,8.67,34.81,1,-0.4820740858388647,False,9.820397140645586,1,-0.40682487315593785,False,0.0,1,-0.37406629156555365,False
-2.12,-4.0,8.71,34.88,1,-0.4671590277549271,False,9.816236549717006,1,-0.41303704008476705,False,0.0,1,-0.38336983280084247,False
-1.96,-3.8,8.94,34.88,1,-0.47126243132319573,False,9.909853682068166,1,-0.4067267077620567,False,0.0,1,-0.38256657051766313,False
-2.16,-3.37,9.02,34.88,1,-0.4927305802515061,False,9.868277458604414,1,-0.4063517730289235,False,0.0,1,-0.3840611459981567,False
-2.24,-3.02,9.06,34.81,1,-0.5120190223090422,False,9.809260930365754,1,-0.4079832623923335,False,0.0,1,-0.37490043027354936,False
-2.16,-2.9,9.22,34.81,1,-0.5136574045408875,False,9.903736668550916,1,-0.4003648629786045,False,0.0,1,-0.374250248244086,False
-2.0,-2.86,9.1,34.81,1,-0.5026776783925089,False,9.746260821463787,1,-0.4237652105154458,False,0.0,1,-0.3834529363584095,False
-2.08,-2.82,9.14,34.81,1,-0.5091031407181,False,9.788687348158588,1,-0.413088057467238,False,0.0,1,-0.37712064611573015,False
-2.04,-3.22,9.14,34.81,1,-0.4965837065657411,False,9.903009643537667,1,-0.4006358360239216,False,0.0,1,-0.3746925352641275,False
-1.88,-2.67,9.22,34.81,1,-0.5041549637446875,False,9.78119113400817,1,-0.41291156598296364,False,0.0,1,-0.3780269272701626,False
-1.96,-2.86,9.06,34.81,1,-0.4986301647276464,False,9.700762856600505,1,-0.432847932110477,False,0.0,1,-0.3896880610958767,False
-2.04,-3.14,9.26,34.81,1,-0.5019883704442414,False,9.9884333105848,1,-0.4079598538667264,False,0.0,1,-0.37765277213711856,False
-2.04,-3.3,9.02,34.81,1,-0.4909175660373149,False,9.818961248523186,1,-0.4070174745180127,False,0.0,1,-0.37396535184542984,False
-2.08,-3.22,9.1,34.81,1,-0.4934430746568947,False,9.874451883522447,1,-0.4003478326936532,False,0.0,1,-0.37447356368604273,False
-2.9,-2.59,8.98,34.81,1,-0.5409093077703786,False,9.785627215462481,1,-0.4122013777883785,False,0.0,1,-0.3773335140238277,False
-3.53,-3.14,8.71,34.81,1,-0.534828041398048,False,9.908814258023007,1,-0.40011429683418864,False,0.0,1,-0.3728869467756907,False
-2.35,-4.28,8.67,34.81,1,-0.47160335965190436,False,9.950366827408928,1,-0.40332579334650975,False,0.0,1,-0.3750423348617838,False
-5.96,-5.14,7.88,34.81,1,-0.5274493579184403,False,11.13712709813442,-1,-0.6590064577360107,True,0.0,-1,-0.5945967090833418,True
-5.53,-8.16,2.24,34.75,-1,-0.6436103209413387,True,10.108615137594269,1,-0.42242912685325756,False,0.0,1,-0.3967477873898359,False
-4.43,-6.55,5.92,34.69,1,-0.576401841539035,False,9.877945130440844,1,-0.38344953174351964,False,0.0,1,-0.36245518244390484,False
-5.57,-5.81,6.12,34.75,1,-0.5779714118794473,False,10.111152258768533,1,-0.423782267228022,False,0.0,1,-0.3978502102593322,False
-3.22,-2.28,9.65,34.69,1,-0.5697379762086227,False,10.425416058843886,1,-0.5083466206522138,False,0.0,1,-0.4674324284545277,False
